Fwd Packet Length Std,Flow IAT Mean,Flow IAT Std,Fwd IAT Mean,Bwd IAT Total,Bwd IAT Mean,Packet Length Mean,Label
0.000000,0.284000,0.000000,0.000000,0,0.000000,193.666667,dns
0.000000,0.000091,0.108519,0.042000,15,0.015000,147.400000,dns
0.000000,0.060782,105.034500,0.035000,182065,182.065000,147.400000,dns
0.000000,0.516000,0.000000,0.000000,0,0.000000,123.333333,dns
0.000000,14.754000,14.507003,25.012000,0,0.000000,102.500000,dns
0.000000,35.814000,18.089206,23.023000,0,0.000000,99.750000,dns
0.000000,0.009823,13.741448,29.243000,3905,3.905000,166.000000,dns
0.000000,162.747000,0.000000,0.000000,0,0.000000,134.000000,dns
0.000000,0.345000,0.000000,0.000000,0,0.000000,153.000000,dns
0.000000,0.000115,0.136504,0.052000,22,0.022000,147.400000,dns
0.000000,0.066000,0.050210,0.051000,25,0.025000,147.400000,dns
0.000000,0.323000,0.000000,0.000000,0,0.000000,193.666667,dns
0.000000,0.000430,0.000000,0.000000,0,0.000000,193.666667,dns
0.000000,0.008404,14.272984,0.033000,24884,24.884000,147.400000,dns
0.000000,0.219000,0.000000,0.000000,0,0.000000,135.000000,dns
0.000000,45.313000,40.255589,16.848000,0,0.000000,125.250000,dns
0.000000,0.000101,0.104577,0.057000,25,0.025000,144.000000,dns
0.000000,0.000094,0.094638,0.000050,30,0.000030,147.400000,dns
0.000000,0.000100,0.117500,0.049000,16,0.016000,147.400000,dns
0.000000,2007.994000,0.103238,2007.994000,0,0.000000,36.000000,dns
0.000000,4.036000,6.732458,0.043000,11809,11.809000,147.400000,dns
0.000000,143.107000,0.000000,0.000000,0,0.000000,133.000000,dns
0.000000,0.000087,0.118698,0.028000,10,0.000010,147.400000,dns
0.000000,0.000090,0.107375,0.039000,17,0.017000,147.400000,dns
0.000000,5.026026,191.647799,5.026026,0,0.000000,18.000000,dns
0.000000,0.281000,0.000000,0.000000,0,0.000000,116.000000,dns
0.000000,0.000106,0.105453,0.000010,90,0.000090,147.400000,dns
0.000000,1.983000,0.000000,0.000000,0,0.000000,137.333333,dns
0.000000,26.566000,0.000000,0.000000,0,0.000000,183.333333,dns
0.000000,0.097000,0.108291,0.055000,16,0.016000,147.400000,dns
0.000000,0.008295,14.147367,0.041000,24631,24.631000,147.400000,dns
0.000000,0.158000,0.204392,0.038000,42,0.042000,147.400000,dns
0.000000,0.324000,0.000000,0.000000,0,0.000000,133.000000,dns
0.000000,0.139000,0.000000,0.000000,0,0.000000,125.333333,dns
0.000000,0.000145,0.160457,0.082000,25,0.025000,147.400000,dns
0.000000,0.006775,11.574258,0.041000,20140,0.020140,147.400000,dns
0.000000,0.289000,0.000000,0.000000,0,0.000000,59.000000,dns
0.000000,0.226000,0.000000,0.000000,0,0.000000,59.000000,dns
0.000000,23.118000,7.228046,28.229000,0,0.000000,121.250000,dns
0.000000,0.258000,0.000000,0.000000,0,0.000000,134.000000,dns
0.000000,0.324000,0.000000,0.000000,0,0.000000,193.666667,dns
0.000000,0.314000,0.000000,0.000000,0,0.000000,193.666667,dns
0.000000,0.366000,0.000000,0.000000,0,0.000000,134.333333,dns
0.000000,8.238000,13.980661,0.059000,24381,24.381000,147.400000,dns
0.000000,0.000110,0.079034,0.019000,164,0.164000,147.400000,dns
0.000000,0.325000,0.000000,0.000000,0,0.000000,193.666667,dns
0.000000,0.279000,0.000000,0.000000,0,0.000000,121.000000,dns
0.000000,0.000280,0.000000,0.000000,0,0.000000,133.000000,dns
0.000000,0.691000,0.905441,0.000040,1725,1.725000,133.600000,dns
0.000000,1.131000,0.000000,0.000000,0,0.000000,127.666667,dns
0.000000,177.703000,196.869842,38.495000,0,0.000000,125.000000,dns
0.000000,0.463000,0.000000,0.000000,0,0.000000,153.333333,dns
0.000000,0.000104,0.118728,0.048000,23,0.023000,144.000000,dns
0.000000,0.285000,0.000000,0.000000,0,0.000000,59.000000,dns
0.000000,0.344000,0.000000,0.000000,0,0.000000,193.666667,dns
0.000000,0.000124,0.118627,0.048000,64,0.064000,147.400000,dns
0.000000,0.191000,0.000000,0.000000,0,0.000000,52.000000,dns
0.000000,80.523000,61.002102,37.388000,0,0.000000,139.000000,dns
0.000000,0.007871,13.366918,0.051000,23305,23.305000,147.400000,dns
0.000000,0.113000,0.120237,0.064000,25,0.025000,147.400000,dns
0.000000,71.647000,44.187103,40.402000,0,0.000000,110.000000,dns
0.000000,0.353000,0.000000,0.000000,0,0.000000,193.666667,dns
0.000000,0.000601,0.755863,0.058000,1464,1.464000,147.400000,dns
0.000000,0.000078,0.080326,0.046000,18,0.018000,144.000000,dns
0.000000,101.679000,0.000000,0.000000,0,0.000000,147.000000,dns
0.000000,0.313000,0.000000,0.000000,0,0.000000,193.666667,dns
0.000000,0.005574,9.482555,0.045000,16523,16.523000,147.400000,dns
0.000000,157.707000,0.000000,0.000000,0,0.000000,45.333333,dns
0.000000,0.248000,0.000000,0.000000,0,0.000000,135.333333,dns
0.000000,0.256000,0.000000,0.000000,0,0.000000,188.333333,dns
0.000000,37.034000,1.277035,36.131000,0,0.000000,96.000000,dns
0.000000,0.000128,0.133088,0.053000,50,0.000050,147.400000,dns
0.000000,0.086783,150.034896,0.055000,260028,260.028000,147.400000,dns
0.000000,0.094000,0.072021,0.048000,57,0.057000,147.400000,dns
0.000000,0.105000,0.140993,0.038000,10,0.000010,147.400000,dns
0.000000,0.090930,72.822099,39.437000,0,0.000000,133.500000,dns
0.000000,0.007517,12.792048,0.048000,22288,22.288000,147.400000,dns
0.000000,0.838096,2041.121421,1676.132000,5028191,2.514095,156.750000,dns
0.000000,0.000100,0.111500,0.058000,15,0.015000,133.600000,dns
0.000000,1.964000,0.000000,0.000000,0,0.000000,130.000000,dns
0.000000,0.000112,0.138226,0.048000,18,0.018000,147.400000,dns
0.000000,0.000095,0.048993,0.053000,84,0.084000,147.400000,dns
0.000000,0.000100,0.124374,0.000040,17,0.017000,133.600000,dns
0.000000,0.000201,0.068245,0.438000,324,0.324000,145.800000,dns
0.000000,0.282000,0.000000,0.000000,0,0.000000,193.666667,dns
0.000000,7.973000,13.566617,0.046000,23638,23.638000,147.400000,dns
0.000000,0.215000,0.000000,0.000000,0,0.000000,52.000000,dns
0.000000,0.107000,0.118495,0.052000,26,0.026000,147.400000,dns
0.000000,1.838000,0.000000,0.000000,0,0.000000,129.000000,dns
0.000000,0.937000,0.000000,0.000000,0,0.000000,133.000000,dns
0.000000,0.407000,0.000000,0.000000,0,0.000000,193.666667,dns
0.000000,0.304000,0.000000,0.000000,0,0.000000,59.000000,dns
0.000000,0.000320,0.000000,0.000000,0,0.000000,121.000000,dns
0.000000,0.000390,0.352429,0.000240,793,0.793000,134.200000,dns
0.000000,0.243000,0.000000,0.000000,0,0.000000,120.000000,dns
0.000000,0.361000,0.000000,0.000000,0,0.000000,121.000000,dns
0.000000,0.028050,0.000000,0.000000,0,0.000000,174.000000,dns
0.000000,2.007979,0.144957,2.007979,0,0.000000,36.000000,dns
0.000000,0.000280,0.000000,0.000000,0,0.000000,59.000000,dns
0.000000,2.007869,0.211425,2.007869,0,0.000000,36.000000,dns
0.000000,0.273000,0.000000,0.000000,0,0.000000,193.666667,dns
0.000000,0.104000,0.114591,0.065000,14,0.014000,134.200000,dns
0.000000,0.000106,0.133031,0.037000,21,0.021000,147.400000,dns
0.000000,0.095000,0.113459,0.031000,28,0.028000,147.400000,dns
0.000000,0.008396,14.303213,0.058000,24912,24.912000,133.600000,dns
0.000000,0.008358,14.211602,0.045000,24768,24.768000,133.600000,dns
0.000000,23.597000,0.000000,0.000000,0,0.000000,167.333333,dns
0.000000,28.807000,0.000000,0.000000,0,0.000000,147.000000,dns
0.000000,0.000229,0.071898,0.538000,400,0.000400,133.600000,dns
0.000000,2.449155,2516.850114,4.989010,134703235,4.989009,54.350877,dns
0.000000,0.000098,0.110726,0.044000,24,0.024000,147.400000,dns
0.000000,0.113000,0.147713,0.000040,16,0.016000,147.400000,dns
0.000000,0.007872,13.355626,0.063000,23293,23.293000,147.400000,dns
0.000000,0.121000,0.075717,0.085000,70,0.000070,147.400000,dns
0.000000,0.264000,0.000000,0.000000,0,0.000000,123.333333,dns
0.000000,0.008481,14.469207,0.045000,25188,25.188000,147.400000,dns
0.000000,0.352350,0.000000,0.000000,0,0.000000,189.000000,dns
0.000000,0.074449,128.712479,0.047000,223073,223.073000,134.200000,dns
0.000000,1.778000,0.000000,0.000000,0,0.000000,126.000000,dns
0.000000,0.000103,0.129168,0.042000,15,0.015000,133.600000,dns
0.000000,2.007929,0.091217,2.007929,0,0.000000,36.000000,dns
0.000000,0.000115,0.123557,0.045000,43,0.043000,147.400000,dns
0.000000,0.000130,0.099202,0.045000,106,0.106000,147.400000,dns
0.000000,0.000410,0.000000,0.000000,0,0.000000,193.666667,dns
0.000000,140.785000,0.000000,0.000000,0,0.000000,140.333333,dns
0.000000,0.095000,0.117013,0.043000,13,0.013000,147.400000,dns
0.000000,0.000122,0.082051,0.038000,125,0.125000,147.400000,dns
0.000000,0.225000,0.000000,0.000000,0,0.000000,71.000000,dns
0.000000,0.183000,0.098015,0.245000,70,0.000070,145.800000,dns
0.000000,168.124000,0.000000,0.000000,0,0.000000,82.000000,dns
0.000000,0.008473,14.422007,0.043000,25126,25.126000,147.400000,dns
0.000000,28.175000,0.000000,0.000000,0,0.000000,156.333333,dns
0.000000,0.301000,0.000000,0.000000,0,0.000000,135.333333,dns
0.000000,0.307000,0.000000,0.000000,0,0.000000,193.666667,dns
0.000000,0.101000,0.088612,0.089000,19,0.019000,145.800000,dns
0.000000,0.284000,0.131412,0.705000,556,0.556000,145.800000,dns
0.000000,50.307000,0.000000,0.000000,0,0.000000,150.333333,dns
0.000000,29.632000,0.000000,0.000000,0,0.000000,151.000000,dns
0.000000,0.000070,0.064454,0.044000,22,0.022000,147.400000,dns
0.000000,0.217190,0.000000,0.000000,0,0.000000,147.000000,dns
0.000000,142.139000,0.000000,0.000000,0,0.000000,135.000000,dns
0.000000,0.465000,0.000000,0.000000,0,0.000000,193.666667,dns
0.000000,0.000120,0.136786,0.061000,22,0.022000,147.400000,dns
0.000000,0.412000,0.000000,0.000000,0,0.000000,193.666667,dns
0.000000,0.376000,0.000000,0.000000,0,0.000000,121.000000,dns
0.000000,0.000114,0.124717,0.000060,26,0.026000,147.400000,dns
0.000000,0.000107,0.128360,0.047000,19,0.019000,147.400000,dns
0.000000,0.117000,0.119779,0.056000,40,0.000040,147.400000,dns
0.000000,0.000104,0.125723,0.045000,18,0.018000,147.400000,dns
0.000000,74.636000,0.000000,0.000000,0,0.000000,124.000000,dns
0.000000,0.008375,14.244249,0.039000,24822,24.822000,147.400000,dns
0.000000,0.224000,0.000000,0.000000,0,0.000000,59.000000,dns
