Fwd Packet Length Std,Flow IAT Mean,Flow IAT Std,Fwd IAT Mean,Bwd IAT Total,Bwd IAT Mean,Packet Length Mean,Label,NormPacket_Length_Mean,NormFwd_Packet_Length_Std,NormBwd_IAT_Total,NormFlow_IAT_Mean,NormFwd_IAT_Mean,NormFlow_IAT_Std,NormBwd_IAT_Mean
0.000000,0.284000,0.000000,0.000000,0,0.000000,193.666667,dns,1.291111,0.000000,0.000000,0.403560,0.000000,0.000000,0.000000
0.000000,0.000091,0.108519,0.042000,15,0.015000,147.400000,dns,0.982667,0.000000,0.000000,0.000129,0.019926,0.000090,0.000007
0.000000,0.060782,105.034500,0.035000,182065,182.065000,147.400000,dns,0.982667,0.000000,0.000152,0.086370,0.016605,0.086696,0.086677
0.000000,0.516000,0.000000,0.000000,0,0.000000,123.333333,dns,0.822222,0.000000,0.000000,0.733229,0.000000,0.000000,0.000000
0.000000,14.754000,14.507003,25.012000,0,0.000000,102.500000,dns,0.683333,0.000000,0.000000,10.000000,10.000000,0.011974,0.000000
0.000000,35.814000,18.089206,23.023000,0,0.000000,99.750000,dns,0.665000,0.000000,0.000000,10.000000,10.000000,0.014931,0.000000
0.000000,0.009823,13.741448,29.243000,3905,3.905000,166.000000,dns,1.106667,0.000000,0.000003,0.013959,10.000000,0.011342,0.001859
0.000000,162.747000,0.000000,0.000000,0,0.000000,134.000000,dns,0.893333,0.000000,0.000000,10.000000,0.000000,0.000000,0.000000
0.000000,0.345000,0.000000,0.000000,0,0.000000,153.000000,dns,1.020000,0.000000,0.000000,0.490241,0.000000,0.000000,0.000000
0.000000,0.000115,0.136504,0.052000,22,0.022000,147.400000,dns,0.982667,0.000000,0.000000,0.000164,0.024671,0.000113,0.000010
0.000000,0.066000,0.050210,0.051000,25,0.025000,147.400000,dns,0.982667,0.000000,0.000000,0.093785,0.024196,0.000041,0.000012
0.000000,0.323000,0.000000,0.000000,0,0.000000,193.666667,dns,1.291111,0.000000,0.000000,0.458979,0.000000,0.000000,0.000000
0.000000,0.000430,0.000000,0.000000,0,0.000000,193.666667,dns,1.291111,0.000000,0.000000,0.000611,0.000000,0.000000,0.000000
0.000000,0.008404,14.272984,0.033000,24884,24.884000,147.400000,dns,0.982667,0.000000,0.000021,0.011942,0.015656,0.011781,0.011847
0.000000,0.219000,0.000000,0.000000,0,0.000000,135.000000,dns,0.900000,0.000000,0.000000,0.311196,0.000000,0.000000,0.000000
0.000000,45.313000,40.255589,16.848000,0,0.000000,125.250000,dns,0.835000,0.000000,0.000000,10.000000,7.993284,0.033227,0.000000
0.000000,0.000101,0.104577,0.057000,25,0.025000,144.000000,dns,0.960000,0.000000,0.000000,0.000143,0.027043,0.000086,0.000012
0.000000,0.000094,0.094638,0.000050,30,0.000030,147.400000,dns,0.982667,0.000000,0.000000,0.000134,0.000024,0.000078,0.000000
0.000000,0.000100,0.117500,0.049000,16,0.016000,147.400000,dns,0.982667,0.000000,0.000000,0.000142,0.023247,0.000097,0.000008
0.000000,2007.994000,0.103238,2007.994000,0,0.000000,36.000000,dns,0.240000,0.000000,0.000000,10.000000,10.000000,0.000085,0.000000
0.000000,4.036000,6.732458,0.043000,11809,11.809000,147.400000,dns,0.982667,0.000000,0.000010,5.735104,0.020401,0.005557,0.005622
0.000000,143.107000,0.000000,0.000000,0,0.000000,133.000000,dns,0.886667,0.000000,0.000000,10.000000,0.000000,0.000000,0.000000
0.000000,0.000087,0.118698,0.028000,10,0.000010,147.400000,dns,0.982667,0.000000,0.000000,0.000124,0.013284,0.000098,0.000000
0.000000,0.000090,0.107375,0.039000,17,0.017000,147.400000,dns,0.982667,0.000000,0.000000,0.000127,0.018503,0.000089,0.000008
0.000000,5.026026,191.647799,5.026026,0,0.000000,18.000000,dns,0.120000,0.000000,0.000000,7.141918,2.384523,0.158187,0.000000
0.000000,0.281000,0.000000,0.000000,0,0.000000,116.000000,dns,0.773333,0.000000,0.000000,0.399297,0.000000,0.000000,0.000000
0.000000,0.000106,0.105453,0.000010,90,0.000090,147.400000,dns,0.982667,0.000000,0.000000,0.000151,0.000005,0.000087,0.000000
0.000000,1.983000,0.000000,0.000000,0,0.000000,137.333333,dns,0.915556,0.000000,0.000000,2.817818,0.000000,0.000000,0.000000
0.000000,26.566000,0.000000,0.000000,0,0.000000,183.333333,dns,1.222222,0.000000,0.000000,10.000000,0.000000,0.000000,0.000000
0.000000,0.097000,0.108291,0.055000,16,0.016000,147.400000,dns,0.982667,0.000000,0.000000,0.137836,0.026094,0.000089,0.000008
0.000000,0.008295,14.147367,0.041000,24631,24.631000,147.400000,dns,0.982667,0.000000,0.000021,0.011788,0.019452,0.011677,0.011726
0.000000,0.158000,0.204392,0.038000,42,0.042000,147.400000,dns,0.982667,0.000000,0.000000,0.224516,0.018029,0.000169,0.000020
0.000000,0.324000,0.000000,0.000000,0,0.000000,133.000000,dns,0.886667,0.000000,0.000000,0.460400,0.000000,0.000000,0.000000
0.000000,0.139000,0.000000,0.000000,0,0.000000,125.333333,dns,0.835556,0.000000,0.000000,0.197517,0.000000,0.000000,0.000000
0.000000,0.000145,0.160457,0.082000,25,0.025000,147.400000,dns,0.982667,0.000000,0.000000,0.000206,0.038904,0.000132,0.000012
0.000000,0.006775,11.574258,0.041000,20140,0.020140,147.400000,dns,0.982667,0.000000,0.000017,0.009628,0.019452,0.009553,0.000010
0.000000,0.289000,0.000000,0.000000,0,0.000000,59.000000,dns,0.393333,0.000000,0.000000,0.410665,0.000000,0.000000,0.000000
0.000000,0.226000,0.000000,0.000000,0,0.000000,59.000000,dns,0.393333,0.000000,0.000000,0.321143,0.000000,0.000000,0.000000
0.000000,23.118000,7.228046,28.229000,0,0.000000,121.250000,dns,0.808333,0.000000,0.000000,10.000000,10.000000,0.005966,0.000000
0.000000,0.258000,0.000000,0.000000,0,0.000000,134.000000,dns,0.893333,0.000000,0.000000,0.366615,0.000000,0.000000,0.000000
0.000000,0.324000,0.000000,0.000000,0,0.000000,193.666667,dns,1.291111,0.000000,0.000000,0.460400,0.000000,0.000000,0.000000
0.000000,0.314000,0.000000,0.000000,0,0.000000,193.666667,dns,1.291111,0.000000,0.000000,0.446190,0.000000,0.000000,0.000000
0.000000,0.366000,0.000000,0.000000,0,0.000000,134.333333,dns,0.895556,0.000000,0.000000,0.520081,0.000000,0.000000,0.000000
0.000000,8.238000,13.980661,0.059000,24381,24.381000,147.400000,dns,0.982667,0.000000,0.000020,10.000000,0.027992,0.011540,0.011607
0.000000,0.000110,0.079034,0.019000,164,0.164000,147.400000,dns,0.982667,0.000000,0.000000,0.000156,0.009014,0.000065,0.000078
0.000000,0.325000,0.000000,0.000000,0,0.000000,193.666667,dns,1.291111,0.000000,0.000000,0.461821,0.000000,0.000000,0.000000
0.000000,0.279000,0.000000,0.000000,0,0.000000,121.000000,dns,0.806667,0.000000,0.000000,0.396455,0.000000,0.000000,0.000000
0.000000,0.000280,0.000000,0.000000,0,0.000000,133.000000,dns,0.886667,0.000000,0.000000,0.000398,0.000000,0.000000,0.000000
0.000000,0.691000,0.905441,0.000040,1725,1.725000,133.600000,dns,0.890667,0.000000,0.000001,0.981902,0.000019,0.000747,0.000821
0.000000,1.131000,0.000000,0.000000,0,0.000000,127.666667,dns,0.851111,0.000000,0.000000,1.607137,0.000000,0.000000,0.000000
0.000000,177.703000,196.869842,38.495000,0,0.000000,125.000000,dns,0.833333,0.000000,0.000000,10.000000,10.000000,0.162497,0.000000
0.000000,0.463000,0.000000,0.000000,0,0.000000,153.333333,dns,1.022222,0.000000,0.000000,0.657917,0.000000,0.000000,0.000000
0.000000,0.000104,0.118728,0.048000,23,0.023000,144.000000,dns,0.960000,0.000000,0.000000,0.000147,0.022773,0.000098,0.000011
0.000000,0.285000,0.000000,0.000000,0,0.000000,59.000000,dns,0.393333,0.000000,0.000000,0.404981,0.000000,0.000000,0.000000
0.000000,0.344000,0.000000,0.000000,0,0.000000,193.666667,dns,1.291111,0.000000,0.000000,0.488820,0.000000,0.000000,0.000000
0.000000,0.000124,0.118627,0.048000,64,0.064000,147.400000,dns,0.982667,0.000000,0.000000,0.000177,0.022773,0.000098,0.000030
0.000000,0.191000,0.000000,0.000000,0,0.000000,52.000000,dns,0.346667,0.000000,0.000000,0.271409,0.000000,0.000000,0.000000
0.000000,80.523000,61.002102,37.388000,0,0.000000,139.000000,dns,0.926667,0.000000,0.000000,10.000000,10.000000,0.050351,0.000000
0.000000,0.007871,13.366918,0.051000,23305,23.305000,147.400000,dns,0.982667,0.000000,0.000019,0.011184,0.024196,0.011033,0.011095
0.000000,0.113000,0.120237,0.064000,25,0.025000,147.400000,dns,0.982667,0.000000,0.000000,0.160572,0.030364,0.000099,0.000012
0.000000,71.647000,44.187103,40.402000,0,0.000000,110.000000,dns,0.733333,0.000000,0.000000,10.000000,10.000000,0.036472,0.000000
0.000000,0.353000,0.000000,0.000000,0,0.000000,193.666667,dns,1.291111,0.000000,0.000000,0.501608,0.000000,0.000000,0.000000
0.000000,0.000601,0.755863,0.058000,1464,1.464000,147.400000,dns,0.982667,0.000000,0.000001,0.000854,0.027517,0.000624,0.000697
0.000000,0.000078,0.080326,0.046000,18,0.018000,144.000000,dns,0.960000,0.000000,0.000000,0.000110,0.021824,0.000066,0.000009
0.000000,101.679000,0.000000,0.000000,0,0.000000,147.000000,dns,0.980000,0.000000,0.000000,10.000000,0.000000,0.000000,0.000000
0.000000,0.313000,0.000000,0.000000,0,0.000000,193.666667,dns,1.291111,0.000000,0.000000,0.444769,0.000000,0.000000,0.000000
0.000000,0.005574,9.482555,0.045000,16523,16.523000,147.400000,dns,0.982667,0.000000,0.000014,0.007920,0.021350,0.007827,0.007866
0.000000,157.707000,0.000000,0.000000,0,0.000000,45.333333,dns,0.302222,0.000000,0.000000,10.000000,0.000000,0.000000,0.000000
0.000000,0.248000,0.000000,0.000000,0,0.000000,135.333333,dns,0.902222,0.000000,0.000000,0.352405,0.000000,0.000000,0.000000
0.000000,0.256000,0.000000,0.000000,0,0.000000,188.333333,dns,1.255556,0.000000,0.000000,0.363773,0.000000,0.000000,0.000000
0.000000,37.034000,1.277035,36.131000,0,0.000000,96.000000,dns,0.640000,0.000000,0.000000,10.000000,10.000000,0.001054,0.000000
0.000000,0.000128,0.133088,0.053000,50,0.000050,147.400000,dns,0.982667,0.000000,0.000000,0.000182,0.025145,0.000110,0.000000
0.000000,0.086783,150.034896,0.055000,260028,260.028000,147.400000,dns,0.982667,0.000000,0.000217,0.123317,0.026094,0.123840,0.123794
0.000000,0.094000,0.072021,0.048000,57,0.057000,147.400000,dns,0.982667,0.000000,0.000000,0.133573,0.022773,0.000059,0.000027
