Fwd Packet Length Std,Flow IAT Mean,Flow IAT Std,Fwd IAT Mean,Bwd IAT Total,Bwd IAT Mean,Packet Length Mean,Label,NormPacket_Length_Mean,NormFwd_Packet_Length_Std,NormBwd_IAT_Total,NormFlow_IAT_Mean,NormFwd_IAT_Mean,NormFlow_IAT_Std,NormBwd_IAT_Mean
8.485281,0.030951,34.662180,68.873000,92550,0.092550,142.400000,dns,0.949333,0.117879,0.000077,10.000000,10.000000,0.450044,0.000681
1.414214,0.469317,770.195289,1.407720,1358439,1358.439000,154.800000,dns,1.032000,0.019646,0.001132,10.000000,10.000000,10.000000,10.000000
3.535534,0.015285,25.969249,45.606000,45522,45.522000,139.600000,dns,0.930667,0.049116,0.000038,10.000000,10.000000,0.337177,0.335105
97.740180,0.155402,372.986523,0.288576,2020197,0.404039,303.066667,http,2.020444,1.357821,0.001684,10.000000,10.000000,4.842753,0.002974
95.500000,0.167076,408.697066,0.334097,1002423,0.501212,23875.000000,http,10.000000,1.326700,0.000835,10.000000,10.000000,5.306408,0.003690
103.055001,0.165735,386.377343,0.331433,1988782,0.397756,324.571429,http,2.163810,1.431655,0.001658,10.000000,10.000000,5.016615,0.002928
114.500000,0.166996,408.748981,0.333935,1001942,500.971000,28625.000000,http,10.000000,1.590651,0.000835,10.000000,10.000000,5.307082,3.687843
95.500000,0.166973,408.707014,333.877000,1001810,500.905000,23875.000000,http,10.000000,1.326700,0.000835,10.000000,10.000000,5.306537,3.687357
97.740180,0.131139,325.294089,0.243521,1704767,0.340953,302.933333,http,2.019556,1.357821,0.001421,10.000000,10.000000,4.223527,0.002510
114.500000,0.166979,408.706441,0.333895,1001836,500.918000,28625.000000,http,10.000000,1.590651,0.000835,10.000000,10.000000,5.306530,3.687453
72.191214,0.259829,610.714013,476.334000,2858069,0.714517,332.076923,http,2.213846,1.002891,0.002382,10.000000,10.000000,7.929340,0.005260
114.500000,0.167022,408.778625,333.964000,1002093,0.501046,28625.000000,http,10.000000,1.590651,0.000835,10.000000,10.000000,5.307467,0.003688
97.740180,0.152561,365.557606,0.283302,1983260,396.652000,303.066667,http,2.020444,1.357821,0.001653,10.000000,10.000000,4.746298,2.919910
95.500000,0.166972,408.730526,0.333877,1001811,0.500906,23875.000000,http,10.000000,1.326700,0.000835,10.000000,10.000000,5.306843,0.003687
97.740180,0.153169,373.238378,0.284422,1991168,0.398234,302.933333,http,2.019556,1.357821,0.001660,10.000000,10.000000,4.846023,0.002932
